mod	decision	link	motif	milestone	detail
aeronautics	KEEP	adjustable_burner fuel→create/aeronautics	M-13	v0.9.0	motif M-13 | delivery: config fuel-tag JSON (extend to tfmg:diesel/gasoline) | milestone: v0.9.0 | why "of course": every airship pilot running a hot-air burner becomes a diesel buyer — the refinery crew has a direct customer; charcoal farmers and oilmen both have a buyer; closes the fuel-production→propulsion leg cleanly
aeronautics	KEEP	levitite_blend crystallization→magic (arcane catalyst gate)	M-10	v0.11.0	motif M-10 | delivery: KubeJS catalyst-adjacent (Ars source_gem or Occultism entity adjacent during in-world crystallization step) | milestone: v0.11.0 | why "of course": lift won't crystallize without an arcane touch — the ship builder must trade with the mage; the gravity-defying material requires an attunement no forge produces
aeronautics	KEEP	levitite (zinc-gated)→economy (regional commodity)	M-30	v0.9.0	motif M-30 | delivery: GTMOGS regional ore-gen already seeds zinc biome-modifiers; confirm levitite_blend recipe pulls from c:ingots/zinc so the lock is automatic | milestone: v0.9.0 | why "of course": zinc is regionally scarce and levitite blend is the lift material every builder needs — whoever controls the zinc region controls lift production; a lift specialist emerges without a rule
aeronautics	KEEP	aeronautics structural alloy→create (hull + drivetrain)	M-23	v0.7.0	motif M-23+M-24 (combined physical weave) | delivery: recipe — aeronautics hull/frame construction recipes require create_ironworks steel_plate (M-23); propeller bearing / gyroscopic_mechanism / portable engine already sequenced_assembly (M-24, jar-confirmed); confirm steel/bronze inputs in hull block recipes | milestone: v0.7.0 | why "of course": you can't bolt together an airship frame from dirt — real fabricated steel earns the hull; propellers and engines are Create all the way down
aeronautics	CUT	levitite_blend/levitite→economy via numismatics mint	M-08		motif M-08 | reason: duplicate-of KEEP M-30 (the regional-scarcity gate already makes levitite a trade commodity; minting it into coin specifically is the M-08 work that belongs to create_ironworks tin/bronze, not lift material)
aeronautics	CUT	aeronautics borehead → ore → numismatics mint	M-08		motif M-08 | reason: no-method — the ore processing is already vanilla/Create ore-doubling (M-03 is the established path); the borehead is emergent play-style, not a weave to author
aeronautics	CUT	rope/docking connector→economy (cargo-run service)	M-33		motif M-33 (and M-31) | reason: no-method — docking-at-trading-posts is a design/layout observation, not a recipe or loot-seed deliverable; all rope/dock rows in various motifs (M-08, M-31, M-33) share this defect
aeronautics	CUT	aeronautics:levitite (loot-seed, boss drop gate)	M-15		motif M-15 | reason: depth — gating the lift material the WHOLE ship needs behind a boss drop is a guardrail violation; the recipe chain is already unresolved (code-only) and the loot direction (M-15 runs boss→recipe, not recipe→loot)
aeronautics	CUT	offroad:tire→create:pressing (rubber sheet)	M-20		motif M-20 | reason: no confirmed rubber/polymer source in pack (TFMG polymer output speculative); only times_suggested=1, ACCEPT=1 — too thin
aeronautics	CUT	simulated:gyroscopic_mechanism→northstar:engraving (circuit engraving)	M-06		motif M-06 | reason: Northstar is not confirmed in pack; times_suggested=1, thin ACCEPT; gyro is already addressed in the M-23/M-24 KEEP
