chunk	mod	action	motif	match	matched_link	ref	note	evidence
P2	aileron	add-keep	M-33	n/a	(new)	NEW aileron:cloudskipper + aileron:smokestack (enchants) → via ars_nouveau:enchantment (ap	touches the magic→aeronautics gap directly; verify apparatus accepts modded enchant levels before authoring.	enchant ids jar-confirmed in the loot digest; ars_nouveau:enchantment recipe type registered (dossier)
P2	cold_sweat	add-keep	M-26	n/a	(new)	NEW tfmg:coal_coke(+coal_coke_block) → via Cold Sweat hearth/boiler fuel config → premium 	one fuel market spanning pressure and the logistics arm — the starved seam, delivered as config only.	tfmg:coal_coke jar-confirmed; hearth/boiler fuel lists are config-listable; aeronautics burner already heat-ladder-tied 
P1	copperagebackport	add-keep		n/a	(new)	NEW copperagebackport copper deco/chests ← create:copper_sheet → via replaceInput (81 patt	one replaceInput line extends an approved shipped batch — cheap, consistent, no new motif.	mod absent from 81-decoration-metal.js's mod list; its recipes craft from raw copper ingots on the vanilla table (digest
S13	create_confectionery	add-keep	M-26	n/a	(new)	NEW create_confectionery:hot_chocolate → via cold_sweat food-temperature config → winter w	the M-12 CUT judged the stock Regen effect, not temperature config; verify cold_sweat's food-temperature key before authoring.	cold-sweat.pw.toml in pack; hot_chocolate + bottle/bucket grounded in digest; cold_sweat waterskins prove temperature-ca
P1	create_winery	add-keep	M-35	n/a	(new)	NEW create_winery:red/white_grape_pomace → via create_winery:maturing (wine_cellar) → wine	register create_winery:maturing in M-35's method list; the pack's first shipped maturation good — ledger update, no recipe authoring.	recipes digest: ten maturing/maturing_blend recipes (bordeaux..zinfandel) + create:compacting grapes→pomace + create:mix
P1	create_winery	add-keep	M-16	n/a	(new)	NEW create_winery:red/white_grape_bush → via Serene Seasons fertility config → season-gate	config-only; vintage cycles stack naturally on the M-35 aging identity.	grape bushes worldgen in temperate biomes (digest biome_modifier); M-16 is flagged "priority survival lever — want more 
P1	occultism	add-keep	M-29	n/a	(new)	NEW occultism:dimensional_mineshaft → via authored crafting (c:plates/steel + a Create pre	keeps M-18 honest; feeds the starved Create→magic seam.	Create's ore-excavation sink is deliberately T4-expensive (spine/00-tiers excavation_sink) while the mineshaft is cheap;
S15	quark	add-keep	M-12	n/a	(new)	NEW <quark:crab_shell> → via create:milling → minecraft:bone_meal x2	digest cannot see brewing — verify in-game that crab_shell is not already a potion ingredient before authoring.	crab_shell sits in the CONNECTIVITY.md drop-only table (quark pile, nothing consumes it in the recipe graph); quark:enti
S10	railways	add-keep	M-26	n/a	(new)	NEW railways:fuel_tank (+coal/charcoal or tfmg fuels) → via S'nR native train-fuel consump	verify fuel registry surface (config vs tag) before authoring; if TFMG liquids feed it, log reagent-ownership check vs M-13's aeronautics reservation. [BALANCE-	digest: railways:fuel_tank, portable_fuel_interface, smokestack_coalburner* exist; no config/railways* shipped (mod defa
P2	sereneseasons	add-keep	M-31	n/a	(new)	NEW tropical wet/dry vs temperate four-season asymmetry → via SS fertility/biome-season co	the deliberate pressure→aeronautics probe result; verify tropical biome tagging in-pack before tuning fertility windows.	SS has a separate tropical season cycle by biome tag; pack worldgen (Terralith) has tropical biomes; pairs with minecolo
S16	smokeleafindustries	add-keep	M-12	n/a	(new)	NEW smokeleafindustries:hemp_plastic → via tfmg processing (mixing/chemical) → tfmg:plasti	conversion recipe NOT tag-union (bypass would erode TFMG's oil chain); hemp bio-plastic is real-world "of course" [BALANCE-PENDING: rate vs oil-derived sheet].	digest: tfmg c:ingots/plastic = {tfmg:plastic_sheet} only; hemp_plastic exists untagged, unconsumed; 93-smokeleaf.js lef
S18	spawn	add-keep	M-11	n/a	(new)	NEW spawn:sunstone → via occultism:spirit_fire → light-magic reagent	sibling of the ratified anglerfish M-11; verify the dropping mob's tone in-game first — the digest cannot ground it.	CONNECTIVITY drop-only table (spawn: angler_fish, music_disc_rain, sunstone); digest shows no recipe touches sunstone
S15	underground_village	add-keep		n/a	(new)	NEW <stoneholm:andesite_worker+brass_worker+copper_worker loot> → via LootJS/datapack tabl	the mod update introduced a lock bypass after v0.7.0 shipped; trim to brass/copper sheets, casings, cogwheels — Create-salvage flavor kept.	v2.0 jar tables drop create:precision_mechanism and create:electron_tube — the exact two ids route-locked by spine/10-lo
S03	alcohol_industry	balance-note	M-35	motif-exact	alcohol_industry→economy	alcohol_industry→economy	additive premium only, never replace raw bottling (depth-scales). [BALANCE-PENDING: aged-vs-raw premium needs a real demand-side rate from play]	create_cheese:maturing accepts arbitrary tagged inputs with extensible outputs (dossier); no aged items exist in the 2.1
S11	beachparty	balance-note	M-26	motif-exact	beachparty cocktails → survival (M-26)	beachparty cocktails → survival (M-26)	authored bit is buff tuning to demand-worthy effects; Cold Sweat cooling config an optional pressure tooth. [BALANCE-PENDING: buff strength/duration vs potions]	recipe digest: all six cocktails consume ice+crops via palm_bar_mixing; dossier: cocktails natively grant short buffs
S01	betterstrongholds	balance-note	M-08	motif-exact	betterstrongholds loot→economy	betterstrongholds loot→economy	faucet question was weighed at ratify (deep-treasure only). [BALANCE-PENDING: seeded-coin volume vs player-mint primacy once the mint lands]	betterstrongholds:chests/treasure exists (digest); numismatics absent from kubejs so the v0.13.0 sequencing (seed + mint
