times_suggested	from_opus	mod	from	via	to_pillar	motif	consensus	verdicts	hook
12	False	betteroceanmonuments	betteroceanmonuments loot tables	loot-seed	magic	M-02	ACCEPT	{'ACCEPT': 8, 'REJECT': 4}	guardian-tower secrets are thematically arcane; seeding an Ars Nouveau source gem cluster or Iron's Spellbooks scroll in
10	False	betteroceanmonuments	betteroceanmonuments loot tables (monument chest drops — prismarine-adjacent)	loot-seed	economy	M-08	ACCEPT	{'ACCEPT': 9, 'REJECT': 1}	the expanded monument layout adds chest rooms deep in an aquatic dungeon — seeding a handful of Numismatics coins into t
7	False	betteroceanmonuments	betteroceanmonuments loot tables	loot-seed	create	M-15	REJECT	{'REJECT': 5, 'ACCEPT': 2}	M-15 is boss-drop-as-gate; Better Ocean Monuments adds chests, not a boss — using it as a boss-key source is thematicall
5	False	betteroceanmonuments	monument chest loot tables	loot-seed	magic	M-02	ACCEPT	{'ACCEPT': 5}	the expanded monument now holds a drowned-elder-guardian relic (seeded rare reagent) in its deepest vault room — finding
4	False	betteroceanmonuments	ocean monument chest loot	loot-seed	economy	M-08	ACCEPT	{'ACCEPT': 3, 'REJECT': 1}	the monument's vault holds processed guardian material and a few coins — conquering the deep earns you something spendab
4	False	betteroceanmonuments	monument chest loot (loot=yes)	loot-seed — inject Numismatics coin or a scarcity-gated reagent into monument rooms	economy	M-08	ACCEPT	{'ACCEPT': 2, 'REJECT': 2}	the deepened monument's reward rooms carry regional trade coin, giving the aquatic dungeon route a concrete economy payo
3	False	betteroceanmonuments	ocean monument chest loot	loot-seed	magic	M-02	ACCEPT	{'ACCEPT': 2, 'REJECT': 1}	guardian-resonant prismarine shards in the deeper monument rooms become a source of arcane materials — the ocean's depth
3	False	betteroceanmonuments	monument chest loot	loot-seed (datapack edit)	economy	M-34	ACCEPT	{'ACCEPT': 3}	seeding a rare combat-supply drop (a processed material or magic reagent) into monument chests means clearing a Better O
2	False	betteroceanmonuments	Elder Guardian (boss of the overhauled monument)	loot-seed	create	M-15	ACCEPT	{'ACCEPT': 2}	Elder Guardian drops a unique aquatic component (seeded via loot-table injection) that gates a mid/endgame Create fluid-
1	True	betteroceanmonuments	monument chest loot	loot-table seed (numismatics coin / magic reagent)	magic		REJECT	{'REJECT': 1}	no registry items or methods of its own; seeding a coin/reagent into its loot table is a datapack edit, not a mod weave.
1	True	betteroceanmonuments	ocean-monument loot chests	loot-table seed (coin/reagent) → economy	economy	M-08	REJECT	{'REJECT': 1}	0 registry items; the only hook is a loot-table datapack edit, not a recipe on this mod. Coherent but defer to a loot-se
1	False	betteroceanmonuments	monument chest loot (loot=yes)	loot-seed — inject a boss-key component (guardian-related or unique ocean fragment) into the capstone room	create	M-15	ACCEPT	{'ACCEPT': 1}	the monument's inner sanctum yields a unique sea-core component that gates a Create or magic mid-tier recipe, making oce
1	False	betteroceanmonuments	monument chest loot	loot-seed	survival	M-34	ACCEPT	{'ACCEPT': 1}	the monument's deepest vault contains a boss-grade drop (e.g. elder guardian trophy / unique loot) that the combat-speci
1	False	betteroceanmonuments	ocean monument chest loot tables	loot-seed (datapack edit)	create	M-15	REJECT	{'REJECT': 1}	ocean monuments aren't a thematic home for tech blueprints (prismarine + guardian = aquatic/arcane vibe); forcing a Crea
1	False	betteroceanmonuments	Better Ocean Monuments loot chests	loot-seed	create	M-15	ACCEPT	{'ACCEPT': 1}	the expanded monument is the ocean's dungeon — clearing it is how you unlock deep-sea engineering components
1	False	betteroceanmonuments	Better Ocean Monuments loot chests	loot-seed	magic	M-02	ACCEPT	{'ACCEPT': 1}	the monument's guardians hoard arcane tidal reagents used in water-magic rituals
1	False	betteroceanmonuments	Better Ocean Monuments loot chests	loot-seed	economy	M-34	ACCEPT	{'ACCEPT': 1}	ocean monuments are guarded by Elders — clearing one is hazardous; the loot rewards the fighter with goods to trade
1	False	betteroceanmonuments	monument chest loot	loot-seed	survival	M-02	ACCEPT	{'ACCEPT': 1}	seed a boss/rare mob-adjacent drop (elder guardian trophy component, prismarine catalyst) into the expanded monument che
1	False	betteroceanmonuments	no registry items/blocks	n/a	n/a		REJECT	{'REJECT': 1}	No items/blocks means no recipe-side weave is possible. All weaves must go through loot-seed (the only data hook). Both 
1	False	betteroceanmonuments	betteroceanmonuments chest loot tables	loot-seed (seed upgrade_aquatic exotic fish, Ars Nouveau water-affinity glyphs/scrolls, prismarine-based crafting components, Numismatics coin as dungeon hoard)	magic	M-15	ACCEPT	{'ACCEPT': 1}	The YUNG's overhaul adds proper rooms and chests — they should contain things worth finding. Seeding Ars water glyphs (t
1	False	betteroceanmonuments	betteroceanmonuments elder-guardian fight (enhanced monument)	loot-seed on the elder guardian's drop (seed a unique aquatic boss reagent or prismarine-arc component as a rare drop)	create	M-02	ACCEPT	{'ACCEPT': 1}	The elder guardian is the monument's boss. Adding a unique aquatic-essence drop (elder prismarine shard, deep-current cr
