times_suggested	from_opus	mod	from	via	to_pillar	motif	consensus	verdicts	hook
26	False	drones	drones:pocket_drone (assembled)	numismatics sell	economy	M-09	REJECT	{'ACCEPT': 3, 'REJECT': 23}	a hand-built personal quadcopter is a luxury good; traders would pay coin for one
25	False	brazil_legends	brazil_legends:amber_shard	numismatics sell	economy	M-09	REJECT	{'REJECT': 20, 'ACCEPT': 5}	amber_shard is an everyday drop from a common mob; it already has a stronger routing via Create crushing (above). Adding
25	False	expandeddelight	expandeddelight:cheese_wheel / goat_cheese_wheel (time-gated, mid-tier)	numismatics sell	economy	M-09	ACCEPT	{'ACCEPT': 21, 'REJECT': 4}	Aged cheese is a specialty good — cave-cured wheels fetch real coin at market
23	False	dynamictreesplus	dynamictreesplus:saguaro_fruit	numismatics sell	economy	M-09	REJECT	{'REJECT': 23}	saguaro_fruit is an everyday forage item with no processing behind it; M-09 is for high-effort consumables — a raw cactu
20	False	createimmersivetacz	createimmersivetacz:twelve_gauge_shell / createimmersivetacz:rimmed_blunt_ap_casing / createimmersivetacz:40mmhe_casing (bulk ammo)	numismatics sell/trade	economy	M-09	ACCEPT	{'ACCEPT': 20}	mass-produced ammo rolling off a Create brass-and-sequenced-assembly line is exactly the kind of processed trade good th
20	False	mushroomquest	mushroomquest rare / mythical mushroom caps (agarikon, etc.)	numismatics sell	economy	M-09	ACCEPT	{'ACCEPT': 13, 'REJECT': 8}	rare foraged mushrooms with exotic effects are the exact shape of a luxury good — dangerous to find, small stack, high c
20	True	sereneseasons	out-of-season produce (scarce)	numismatics sell	economy	M-09	REJECT	{'REJECT': 14, 'ACCEPT': 6}	systemic link only — Serene Seasons does not produce a *specific item* to price; the scarcity effect is already ambient;
18	True	extradelight	extradelight feast dishes (high-effort cooked products)	numismatics vendor price	economy	M-09	ACCEPT	{'ACCEPT': 13, 'REJECT': 7}	a feast platter is the colony chef's premium trade good; cook effort → coin is coherent
18	False	farm_and_charm	farm_and_charm:butter / eggs / meat surplus (animal husbandry yield)	numismatics sell	economy	M-09	ACCEPT	{'ACCEPT': 16, 'REJECT': 2}	A well-run farmstead produces more butter and meat than the crew can eat — surplus goes to market, and livestock husband
18	False	mowziesmobs	mowziesmobs (boss kills)	bountiful bounty → numismatics	economy	M-14	REJECT	{'REJECT': 10, 'ACCEPT': 8}	M-14 bounty is already used for bosses_of_mass_destruction:void_thorns in this chunk; extending it to Mowzie's drops too
17	True	farm_and_charm	farm_and_charm husbandry surplus (meat / eggs / butter)	minecolonies food supply (restaurant / zero_waste intake) OR numismatics price	economy	M-09	ACCEPT	{'ACCEPT': 9, 'REJECT': 8}	the "feed-for-more-drops" loop is a production-for-trade engine by design — a rancher's surplus eggs/meat/butter feed a 
16	True	bakery	bakery finished goods (cakes, tarts, jams, breads — high-effort tier)	numismatics sell	economy	M-09	ACCEPT	{'ACCEPT': 11, 'REJECT': 8}	A well-stocked bakery is a village staple — decorated cakes command a premium coin at market
16	False	meadow	meadow:cheese_wheel / buffalo_cheese_wheel / amethyst_cheese_wheel	numismatics sell	economy	M-09	ACCEPT	{'ACCEPT': 11, 'REJECT': 5}	Aged alpine cheese is a premium trade good — a cheese wheel has real-world luxury value; players sell surplus wheels at 
